                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.43786,                0.24513,                0.85374,                0.99035,                0.98579,                0.99467,                0.95765,                0.33118,                0.17242,                0.83085,              0.0071785,              0.0071785,              0.0071785
                     59,                0.43262,                0.24343,                0.85248,                0.99029,                0.98694,                0.99471,                0.95829,                0.32504,                0.17176,                0.83046,               0.007129,               0.007129,               0.007129
                     60,                0.43508,                0.24499,                0.85048,                0.98963,                0.98699,                0.99472,                 0.9588,                0.32441,                0.16905,                0.82837,              0.0070795,              0.0070795,              0.0070795
                     61,                0.43246,                0.24346,                0.84946,                0.99062,                0.98673,                0.99476,                0.96025,                0.32046,                0.16685,                0.82408,                0.00703,                0.00703,                0.00703
                     62,                0.42671,                0.24076,                0.84959,                0.99221,                0.98472,                0.99473,                0.96052,                0.31817,                0.16537,                0.82421,              0.0069805,              0.0069805,              0.0069805
                     63,                0.42655,                0.24072,                0.85091,                 0.9915,                0.98703,                0.99476,                0.96125,                0.32133,                0.16751,                0.82703,               0.006931,               0.006931,               0.006931
                     64,                0.42272,                0.23897,                0.84929,                0.98863,                0.98872,                0.99477,                0.96083,                0.31663,                0.16449,                0.82573,              0.0068815,              0.0068815,              0.0068815
                     65,                0.42549,                0.23775,                0.84854,                0.99057,                0.98746,                0.99477,                0.96195,                0.31409,                0.16287,                0.82378,               0.006832,               0.006832,               0.006832
                     66,                0.42263,                0.23855,                0.84419,                0.99218,                0.98663,                0.99475,                0.96213,                0.31291,                0.16436,                0.82354,              0.0067825,              0.0067825,              0.0067825
                     67,                0.41593,                 0.2354,                0.84741,                0.98974,                0.98789,                0.99477,                0.96165,                 0.3094,                0.16174,                0.82249,               0.006733,               0.006733,               0.006733
                     68,                0.41862,                0.23691,                0.84425,                 0.9878,                0.98872,                0.99473,                0.96321,                0.30698,                0.16135,                0.82073,              0.0066835,              0.0066835,              0.0066835
                     69,                0.41523,                0.23587,                 0.8462,                0.98773,                0.98924,                0.99473,                0.96338,                0.30485,                0.16016,                0.82086,               0.006634,               0.006634,               0.006634
                     70,                0.41707,                 0.2363,                0.84484,                0.99127,                0.98715,                0.99478,                0.96401,                0.30192,                0.15933,                 0.8205,              0.0065845,              0.0065845,              0.0065845
